text,label
"The Federal Reserve announced today that interest rates will remain unchanged following their monthly meeting, citing concerns about inflation and economic stability.",0
"Scientists at MIT have developed a new solar panel technology that is 40% more efficient than current models, potentially revolutionizing renewable energy production.",0
"Local fire department responded to a house fire on Oak Street this morning, with all residents evacuated safely and no injuries reported.",0
"The stock market closed mixed today, with technology stocks gaining 2% while energy sectors fell by 1.5% amid ongoing trade discussions.",0
"New study published in Nature magazine shows that regular exercise can reduce the risk of heart disease by up to 35% in adults over 50.",0
"Weather services predict heavy rainfall across the midwest region this weekend, with potential for minor flooding in low-lying areas.",0
"The city council approved a new budget allocation of $2.3 million for infrastructure improvements, focusing on road repairs and public transportation.",0
"University researchers have identified a new species of deep-sea fish in the Pacific Ocean, contributing to our understanding of marine biodiversity.",0
"Apple Inc. reported quarterly earnings that exceeded analyst expectations, with iPhone sales showing strong growth in international markets.",0
"The Department of Education announced new guidelines for student loan forgiveness programs, affecting approximately 500,000 borrowers nationwide.",0
"BREAKING: Aliens have been secretly living among us for decades and the government has finally admitted it in a shocking press conference!",1
"You won't believe this ONE WEIRD TRICK that doctors HATE! Lose 50 pounds instantly without diet or exercise - click here now!",1
"SHOCKING: Celebrity reveals they've been dead for 3 years but nobody noticed because they were replaced by a robot clone!",1
"Scientists discover that drinking coffee mixed with lemon juice can make you live forever - pharmaceutical companies are trying to hide this!",1
"URGENT: The world will end tomorrow unless everyone shares this post exactly 17 times before midnight - NASA confirms!",1
"Local man finds million-dollar lottery ticket in his old jacket pocket from 1987, claims it's still valid despite expiration date!",1
"MIRACLE CURE: Grandmother's secret recipe using only kitchen ingredients cures cancer, diabetes, and baldness - doctors are furious!",1
"BREAKING: The moon is actually made of cheese and NASA has been covering it up for 50 years, leaked documents reveal!",1
"EXCLUSIVE: Time traveler from 2087 warns that robots will take over the world next Tuesday - here's how to prepare!",1
"SCANDAL: Politicians caught eating pizza with forks - citizens demand immediate impeachment proceedings!",1
